Subject	Trial	Event Type	Code	Time	TTime	Uncertainty...7	Duration	Uncertainty...9	ReqTime	ReqDur	Stim Type	Pair Index
SB3_027	1	Picture	ripnp	10167	0	1	50131	1	0	50000	other	0
SB3_027	2	Picture	ricordaneutralprova	60465	0	1	50131	1	0	50000	other	0
SB3_027	3	Picture	tre	110764	0	1	10026	1	0	10000	other	0
SB3_027	4	Picture	due	120957	0	1	10026	1	0	10000	other	0
SB3_027	5	Picture	uno	131150	0	1	10026	1	0	10000	other	0
SB3_027	6	Picture	zero	141344	0	1	10026	1	0	10000	other	0
SB3_027	7	Picture	neutraltest	151537	0	1	167	1	0	10	other	0
SB3_027	8	Picture	NMM	151871	0	1	20052	1	0	20000	other	0
SB3_027	8	Response	1	164202	12331	0	NA	NA	NA	NA	NA	NA
SB3_027	9	Picture	fix1	172091	0	1	10026	1	0	10000	other	0
SB3_027	10	Picture	NWK	182284	0	1	20052	1	0	20000	other	0
SB3_027	10	Response	2	189374	7090	0	NA	NA	NA	NA	NA	NA
SB3_027	11	Picture	fix1	202503	0	1	10026	1	0	10000	other	0
SB3_027	12	Picture	NMK	212697	0	1	20052	1	0	20000	other	0
SB3_027	12	Response	1	223102	10405	0	NA	NA	NA	NA	NA	NA
SB3_027	13	Picture	fix1	232916	0	1	10026	1	0	10000	other	0
SB3_027	14	Picture	NWBK	243110	0	1	20053	1	0	20000	other	0
SB3_027	14	Response	2	252651	9541	0	NA	NA	NA	NA	NA	NA
SB3_027	15	Picture	fix1	263329	0	1	10026	1	0	10000	other	0
SB3_027	16	Picture	ripfp	273523	0	1	50131	1	0	50000	other	0
SB3_027	17	Picture	ricordafacceprova	323821	0	1	50131	1	0	50000	other	0
SB3_027	18	Picture	tre	374119	0	1	10026	1	0	10000	other	0
SB3_027	19	Picture	due	384313	0	1	10026	1	0	10000	other	0
SB3_027	20	Picture	uno	394506	0	1	10026	1	0	10000	other	0
SB3_027	21	Picture	zero	404699	0	1	10026	1	0	10000	other	0
SB3_027	22	Picture	faccetest	414893	0	1	167	1	0	10	other	0
SB3_027	23	Picture	FMG	415227	0	1	20052	1	0	20000	other	0
SB3_027	23	Response	2	431040	15813	0	NA	NA	NA	NA	NA	NA
SB3_027	24	Picture	fix1	435446	0	1	10026	1	0	10000	other	0
SB3_027	25	Picture	FWR	445640	0	1	20052	1	0	20000	other	0
SB3_027	25	Response	2	458104	12464	0	NA	NA	NA	NA	NA	NA
SB3_027	26	Picture	fix1	465859	0	1	10026	1	0	10000	other	0
SB3_027	27	Picture	HWG	476053	0	1	20053	1	0	20000	other	0
SB3_027	27	Response	1	482183	6130	0	NA	NA	NA	NA	NA	NA
SB3_027	28	Picture	fix1	496272	0	1	10026	1	0	10000	other	0
SB3_027	29	Picture	HMR	506466	0	1	20052	1	0	20000	other	0
SB3_027	29	Response	1	514821	8355	0	NA	NA	NA	NA	NA	NA
SB3_027	30	Picture	fix1	526685	0	1	10026	1	0	10000	other	0
SB3_027	31	Picture	ripn	536878	0	1	50131	1	0	50000	other	0
SB3_027	32	Picture	ricordaneutral	587177	0	1	50131	1	0	50000	other	0
SB3_027	33	Picture	avvneutral	637475	0	1	50131	1	0	50000	other	0
SB3_027	34	Picture	cinque	687773	0	1	10026	1	0	10000	other	0
SB3_027	35	Picture	quattro	697967	0	1	10026	1	0	10000	other	0
SB3_027	36	Picture	tre	708160	0	1	10026	1	0	10000	other	0
SB3_027	37	Picture	due	718353	0	1	10026	1	0	10000	other	0
SB3_027	38	Picture	uno	728547	0	1	10026	1	0	10000	other	0
SB3_027	39	Picture	zero	738740	0	1	10026	1	0	10000	other	0
SB3_027	40	Picture	pazzo	748933	0	1	167	1	0	10	other	0
