Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty_1	ReqTime	ReqDur	Stim Type	Pair Index
8052	1	Picture	ripnp	10167	0	1	50132	1	0	50000	other	0
8052	2	Picture	ricordaneutralprova	60466	0	1	50132	1	0	50000	other	0
8052	3	Picture	tre	110765	0	1	10026	1	0	10000	other	0
8052	4	Picture	due	120958	0	1	10026	1	0	10000	other	0
8052	5	Picture	uno	131152	0	1	10026	1	0	10000	other	0
8052	6	Picture	zero	141345	0	1	10026	1	0	10000	other	0
8052	7	Picture	neutraltest	151539	0	1	167	1	0	10	other	0
8052	8	Picture	NMM	151873	0	1	20053	1	0	20000	other	0
8052	9	Picture	fix1	172093	0	1	10026	1	0	10000	other	0
8052	10	Picture	NWK	182286	0	1	20053	1	0	20000	other	0
8052	10	Response	1	192932	10646	0	NA	NA	NA	NA	NA	NA
8052	11	Picture	fix1	202506	0	1	10026	1	0	10000	other	0
8052	12	Picture	NMK	212699	0	1	20053	1	0	20000	other	0
8052	12	Response	1	230695	17996	0	NA	NA	NA	NA	NA	NA
8052	13	Picture	fix1	232919	0	1	10026	1	0	10000	other	0
8052	14	Picture	NWBK	243113	0	1	20053	1	0	20000	other	0
8052	14	Response	2	252685	9572	0	NA	NA	NA	NA	NA	NA
8052	15	Picture	fix1	263332	0	1	10026	1	0	10000	other	0
8052	16	Picture	ripfp	273526	0	1	50132	1	0	50000	other	0
8052	17	Picture	ricordafacceprova	323825	0	1	50132	1	0	50000	other	0
8052	18	Picture	tre	374124	0	1	10026	1	0	10000	other	0
8052	19	Picture	due	384317	0	1	10026	1	0	10000	other	0
8052	20	Picture	uno	394511	0	1	10026	1	0	10000	other	0
8052	21	Picture	zero	404704	0	1	10026	1	0	10000	other	0
8052	22	Picture	faccetest	414898	0	1	167	1	0	10	other	0
8052	23	Picture	FMG	415232	0	1	20053	1	0	20000	other	0
8052	23	Response	2	425356	10125	0	NA	NA	NA	NA	NA	NA
8052	24	Picture	fix1	435452	0	1	10026	1	0	10000	other	0
8052	25	Picture	FWR	445645	0	1	20053	1	0	20000	other	0
8052	25	Response	2	453466	7821	0	NA	NA	NA	NA	NA	NA
8052	26	Picture	fix1	465865	0	1	10026	1	0	10000	other	0
8052	27	Picture	HWG	476058	0	1	20053	1	0	20000	other	0
8052	27	Response	1	483252	7194	0	NA	NA	NA	NA	NA	NA
8052	28	Picture	fix1	496278	0	1	10026	1	0	10000	other	0
8052	29	Picture	HMR	506472	0	1	20053	1	0	20000	other	0
8052	29	Response	1	519551	13079	0	NA	NA	NA	NA	NA	NA
8052	30	Picture	fix1	526692	0	1	10026	1	0	10000	other	0
8052	31	Picture	ripn	536885	0	1	50132	1	0	50000	other	0
8052	32	Picture	ricordaneutral	587184	0	1	50132	1	0	50000	other	0
8052	33	Picture	avvneutral	637483	0	1	50132	1	0	50000	other	0
8052	34	Picture	cinque	687782	0	1	10026	1	0	10000	other	0
8052	35	Picture	quattro	697975	0	1	10026	1	0	10000	other	0
8052	36	Picture	tre	708169	0	1	10026	1	0	10000	other	0
8052	37	Picture	due	718362	0	1	10026	1	0	10000	other	0
8052	38	Picture	uno	728556	0	1	10026	1	0	10000	other	0
8052	39	Picture	zero	738749	0	1	10026	1	0	10000	other	0
8052	40	Picture	pazzo	748943	0	1	167	1	0	10	other	0
8052	41	Picture	NMBM	749277	0	1	20053	1	0	20000	other	0
8052	41	Response	1	758699	9422	0	NA	NA	NA	NA	NA	NA
8052	42	Picture	fix1	769497	0	1	10026	1	0	10000	other	0
8052	43	Picture	NMK	779690	0	1	20053	1	0	20000	other	0
8052	43	Response	1	791067	11376	0	NA	NA	NA	NA	NA	NA
8052	44	Picture	fix1	799910	0	1	10026	1	0	10000	other	0
8052	45	Picture	NWBM	810103	0	1	20053	1	0	20000	other	0
8052	45	Response	2	819389	9285	0	NA	NA	NA	NA	NA	NA
8052	46	Picture	fix1	830323	0	1	10026	1	0	10000	other	0
8052	47	Picture	NWK	840517	0	1	20053	1	0	20000	other	0
8052	47	Response	2	850573	10056	0	NA	NA	NA	NA	NA	NA
8052	48	Picture	fix1	860737	0	1	10026	1	0	10000	other	0
8052	49	Picture	NMBK	870930	0	1	20053	1	0	20000	other	0
8052	49	Response	1	879588	8658	0	NA	NA	NA	NA	NA	NA
8052	50	Picture	fix1	891150	0	1	10026	1	0	10000	other	0
8052	51	Picture	NWM	901343	0	1	20053	1	0	20000	other	0
8052	51	Response	2	909491	8148	0	NA	NA	NA	NA	NA	NA
8052	52	Picture	fix1	921563	0	1	10026	1	0	10000	other	0
8052	53	Picture	NMM	931757	0	1	20053	1	0	20000	other	0
8052	53	Response	1	938311	6554	0	NA	NA	NA	NA	NA	NA
8052	54	Picture	fix1	951977	0	1	10026	1	0	10000	other	0
8052	55	Picture	NWBK	962170	0	1	20053	1	0	20000	other	0
8052	55	Response	2	972264	10094	0	NA	NA	NA	NA	NA	NA
8052	56	Picture	fix1	982390	0	1	10026	1	0	10000	other	0
8052	57	Picture	NMBM	992583	0	1	20053	1	0	20000	other	0
8052	57	Response	1	1003652	11069	0	NA	NA	NA	NA	NA	NA
8052	58	Picture	fix1	1012803	0	1	10026	1	0	10000	other	0
8052	59	Picture	NMK	1022997	0	1	20053	1	0	20000	other	0
8052	59	Response	1	1031686	8689	0	NA	NA	NA	NA	NA	NA
8052	60	Picture	fix1	1043217	0	1	10026	1	0	10000	other	0
8052	61	Picture	NWBM	1053410	0	1	20053	1	0	20000	other	0
8052	61	Response	2	1060213	6803	0	NA	NA	NA	NA	NA	NA
8052	62	Picture	fix1	1073630	0	1	10026	1	0	10000	other	0
8052	63	Picture	NWK	1083823	0	1	20053	1	0	20000	other	0
8052	63	Response	2	1091311	7488	0	NA	NA	NA	NA	NA	NA
8052	64	Picture	fix1	1104043	0	1	10026	1	0	10000	other	0
8052	65	Picture	NMBK	1114237	0	1	20053	1	0	20000	other	0
8052	65	Response	1	1120732	6496	0	NA	NA	NA	NA	NA	NA
8052	66	Picture	fix1	1134456	0	1	10026	1	0	10000	other	0
8052	67	Picture	NWM	1144650	0	1	20053	1	0	20000	other	0
8052	67	Response	2	1152030	7380	0	NA	NA	NA	NA	NA	NA
8052	68	Picture	fix1	1164870	0	1	10026	1	0	10000	other	0
8052	69	Picture	NMM	1175063	0	1	20053	1	0	20000	other	0
8052	69	Response	1	1181649	6586	0	NA	NA	NA	NA	NA	NA
8052	70	Picture	fix1	1195283	0	1	10026	1	0	10000	other	0
8052	71	Picture	NWBK	1205477	0	1	20053	1	0	20000	other	0
8052	71	Response	2	1212653	7177	0	NA	NA	NA	NA	NA	NA
8052	72	Picture	fix1	1225696	0	1	10026	1	0	10000	other	0
8052	73	Picture	NMBM	1235890	0	1	20053	1	0	20000	other	0
8052	73	Response	1	1242475	6585	0	NA	NA	NA	NA	NA	NA
8052	74	Picture	fix1	1256110	0	1	10026	1	0	10000	other	0
8052	75	Picture	NMK	1266303	0	1	20053	1	0	20000	other	0
8052	75	Response	1	1278815	12512	0	NA	NA	NA	NA	NA	NA
8052	76	Picture	fix1	1286523	0	1	10026	1	0	10000	other	0
8052	77	Picture	NWBM	1296717	0	1	20053	1	0	20000	other	0
8052	77	Response	2	1304588	7872	0	NA	NA	NA	NA	NA	NA
8052	78	Picture	fix1	1316936	0	1	10026	1	0	10000	other	0
8052	79	Picture	NWK	1327130	0	1	20053	1	0	20000	other	0
8052	79	Response	2	1336979	9849	0	NA	NA	NA	NA	NA	NA
8052	80	Picture	fix1	1347350	0	1	10026	1	0	10000	other	0
8052	81	Picture	NMBK	1357543	0	1	20053	1	0	20000	other	0
8052	81	Response	1	1363347	5804	0	NA	NA	NA	NA	NA	NA
8052	82	Picture	fix1	1377763	0	1	10026	1	0	10000	other	0
8052	83	Picture	NWM	1387957	0	1	20053	1	0	20000	other	0
8052	83	Response	2	1395839	7882	0	NA	NA	NA	NA	NA	NA
8052	84	Picture	fix1	1408176	0	1	10026	1	0	10000	other	0
8052	85	Picture	NMM	1418370	0	1	20053	1	0	20000	other	0
8052	85	Response	1	1425666	7296	0	NA	NA	NA	NA	NA	NA
8052	86	Picture	fix1	1438590	0	1	10026	1	0	10000	other	0
8052	87	Picture	NWBK	1448783	0	1	20053	1	0	20000	other	0
8052	87	Response	2	1454506	5723	0	NA	NA	NA	NA	NA	NA
8052	88	Picture	fix1	1469003	0	1	10026	1	0	10000	other	0
8052	89	Picture	NMBM	1479197	0	1	20053	1	0	20000	other	0
8052	89	Response	1	1485126	5929	0	NA	NA	NA	NA	NA	NA
8052	90	Picture	fix1	1499416	0	1	10026	1	0	10000	other	0
8052	91	Picture	NMK	1509610	0	1	20053	1	0	20000	other	0
8052	91	Response	1	1518908	9298	0	NA	NA	NA	NA	NA	NA
8052	92	Picture	fix1	1529830	0	1	10026	1	0	10000	other	0
8052	93	Picture	NWBM	1540023	0	1	20053	1	0	20000	other	0
8052	93	Response	2	1552494	12471	0	NA	NA	NA	NA	NA	NA
8052	94	Picture	fix1	1560243	0	1	10026	1	0	10000	other	0
8052	95	Picture	NWK	1570437	0	1	20053	1	0	20000	other	0
8052	95	Response	2	1580649	10212	0	NA	NA	NA	NA	NA	NA
8052	96	Picture	fix1	1590656	0	1	10026	1	0	10000	other	0
